Ticker,Evening_Score,Morning_Score,Score_Change_%,Evening_Target1_%,Morning_Target1_%,Target1_Change_%,Volume_Score_E,Volume_Score_M,News_E,News_M,Pct_From_52W_High,Equal_Targets_Flag,Invalid_Entry_Flag,Target_Compression_Flag,BuyRankScore,Classification
SCI,23.77,18.61,-21.70803442540873,3.5,0.0,-99.9999714285796,20.48,14.68,-0.16,-0.05,14.87,False,True,True,0.0021,Avoid
ADANIENSOL,26.52,19.42,-26.772246350971095,3.73,0.15,-95.97852654731192,21.26,15.1,0.01,0.34,14.07,False,True,True,0.0,Avoid
ADANIENT,19.55,14.57,-25.47314447707701,2.11,0.17,-91.9430843871638,13.42,10.93,0.8,-0.35,18.07,False,True,True,0.0,Avoid
ADANIGREEN,30.43,20.61,-32.2707843486433,4.83,0.34,-92.96064327936992,24.5,16.66,0.48,-0.03,44.9,False,True,True,0.0,Avoid
ANANTRAJ,17.37,12.9,-25.73402269809887,2.77,0.07,-97.47288899895705,11.33,9.28,0.8,-0.35,28.43,False,True,True,0.0,Avoid
ATGL,35.57,22.6,-36.46331075447538,5.56,0.39,-92.98559478676353,29.1,18.62,0.48,-0.03,9.39,False,True,True,0.0,Avoid
AWL,29.25,20.05,-31.452990377675537,4.0,0.14,-96.49997587500603,24.81,16.76,-0.62,-0.69,23.79,False,True,True,0.0,Avoid
HUDCO,18.97,14.66,-22.720083146015643,1.76,0.01,-99.43176168649904,12.02,9.9,0.87,0.59,6.27,False,True,True,0.0,Avoid
MANYAVAR,20.04,15.05,-24.900198358273524,3.96,0.04,-98.98987399245605,16.47,12.6,0.48,-0.03,49.81,False,True,True,0.0,Avoid
MMTC,32.0,21.05,-34.21874893066409,4.5,0.23,-94.88886780247381,26.54,17.43,0.8,-0.35,26.08,False,True,True,0.0,Avoid
