Ticker,Signal,Last_Close,Potential_Gainer_Score,Entry_Zone,Target_1,Target_2,Stop_Loss
APTUS,HOLD,328.70,22.16,Enter on breakout above R1 (330.47) or on dip near Pivot (332.23),330.47,332.23,Below Pivot (332.23) or S1 (330.47)
ESCORTS,BUY,3633.30,22.16,Enter on breakout above R1 (3642.20) or on dip near Pivot (3651.10),3642.20,3651.10,Below Pivot (3651.10) or S1 (3642.20)
BATAINDIA,HOLD,1245.50,17.17,Enter on breakout above R1 (1245.27) or on dip near Pivot (1245.03),1245.27,1245.03,Below Pivot (1245.03) or S1 (1245.27)
DOMS,BUY,2692.20,16.16,Enter on breakout above R1 (2707.97) or on dip near Pivot (2723.73),2707.97,2723.73,Below Pivot (2723.73) or S1 (2707.97)
CAMPUS,HOLD,266.70,15.91,Enter on breakout above R1 (266.72) or on dip near Pivot (266.73),266.72,266.73,Below Pivot (266.73) or S1 (266.72)
SAPPHIRE,HOLD,326.00,15.74,Enter on breakout above R1 (326.00) or on dip near Pivot (326.00),326.00,326.00,Below Pivot (326.00) or S1 (326.00)
NIVABUPA,HOLD,81.26,15.42,Enter on breakout above R1 (81.59) or on dip near Pivot (81.93),81.59,81.93,Below Pivot (81.93) or S1 (81.59)
STARHEALTH,BUY,443.85,13.25,Enter on breakout above R1 (444.57) or on dip near Pivot (445.28),444.57,445.28,Below Pivot (445.28) or S1 (444.57)
NETWEB,BUY,2652.10,12.94,Enter on breakout above R1 (2650.63) or on dip near Pivot (2649.17),2650.63,2649.17,Below Pivot (2649.17) or S1 (2650.63)
SYRMA,BUY,836.15,12.68,Enter on breakout above R1 (834.63) or on dip near Pivot (833.12),834.63,833.12,Below Pivot (833.12) or S1 (834.63)
