Ticker,Signal,Last_Close,Potential_Gainer_Score,Score_Price,Score_Volume,Score_Momentum,Score_Global,Score_Proximity,Score_VolPenalty,Score_News,Target1_Potential_%,Est_Days_To_Target1,ATR14,AvgAbsPctMove20,Pct_From_52W_High,Entry_Zone,Target_1,Target_2,Target_3,Target_4,Stop_Loss
ATGL,HOLD,748.00,24.60,2.55,18.12,3.00,1.00,0.00,-0.02,-0.05,5.78,3.3,22.23,1.76,13.19,Enter on breakout above R1 (791.22) or on dip near Pivot (721.78),791.22,834.43,947.08,1059.73,Below Pivot (721.78) or S1 (678.57)
ADANIPOWER,HOLD,169.40,11.90,2.89,4.61,3.00,1.00,0.48,-0.03,-0.05,4.68,1.8,6.93,2.62,0.50,Enter on breakout above R1 (177.33) or on dip near Pivot (162.32),177.33,185.27,208.22,231.17,Below Pivot (162.32) or S1 (154.38)
MMTC,BUY,71.93,29.04,2.12,22.75,3.00,1.00,0.00,-0.03,0.19,3.99,2.7,2.65,1.45,25.07,Enter on breakout above R1 (74.80) or on dip near Pivot (71.01),74.80,77.68,84.35,91.02,Below Pivot (71.01) or S1 (68.13)
HINDCOPPER,BUY,297.28,12.72,2.01,6.73,3.00,1.00,0.00,-0.03,0.00,3.40,1.7,11.63,2.01,15.35,Enter on breakout above R1 (307.39) or on dip near Pivot (294.69),307.39,317.49,340.29,363.09,Below Pivot (294.69) or S1 (284.59)
SCI,BUY,230.49,22.51,1.40,17.13,3.00,1.00,0.00,-0.02,0.00,2.87,2.3,6.41,1.25,13.39,Enter on breakout above R1 (237.11) or on dip near Pivot (230.78),237.11,243.72,256.66,269.60,Below Pivot (230.78) or S1 (224.17)
ADANIGREEN,BUY,1101.25,16.76,2.49,10.34,3.00,1.00,0.00,-0.02,-0.05,2.79,2.0,28.88,1.38,47.33,Enter on breakout above R1 (1131.95) or on dip near Pivot (1083.90),1131.95,1162.65,1241.40,1320.15,Below Pivot (1083.90) or S1 (1053.20)
ANANTRAJ,BUY,676.65,14.11,2.29,7.66,3.00,1.00,0.00,-0.03,0.19,2.65,1.1,26.07,2.36,28.53,Enter on breakout above R1 (694.60) or on dip near Pivot (669.05),694.60,712.55,756.05,799.55,Below Pivot (669.05) or S1 (651.10)
ADANIENSOL,BUY,916.10,13.99,2.36,7.78,3.00,1.00,0.00,-0.02,-0.13,2.40,1.6,24.13,1.50,16.03,Enter on breakout above R1 (938.05) or on dip near Pivot (905.75),938.05,960.00,1014.25,1068.50,Below Pivot (905.75) or S1 (883.80)
ADANIENT,BUY,2606.70,13.67,2.47,7.03,3.00,1.00,0.00,-0.01,0.19,1.55,1.5,54.15,1.05,18.78,Enter on breakout above R1 (2647.10) or on dip near Pivot (2584.60),2647.10,2687.50,2790.40,2893.30,Below Pivot (2584.60) or S1 (2544.20)
HUDCO,BUY,235.11,11.74,2.54,4.73,3.00,1.00,0.09,-0.01,0.40,1.36,1.2,4.79,1.17,8.17,Enter on breakout above R1 (238.30) or on dip near Pivot (233.20),238.30,241.49,249.78,258.07,Below Pivot (233.20) or S1 (230.01)
